;;;;;;;;;;;;;;;;;;;;;;;;;;
Software Version;2.01.12;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Path:;Z:\Zoltan\e15_pr_gfp_pr_gfp_s15_mg_conc_check_0821.xpt;;;;;;;;;;;;;;;;;;;;;;;;;
Protocol File Path:;C:\Users\Public\Documents\Protocols\Zoltan\Zoltan-mg-gfp-cfp.prt;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Number;Plate 1;;;;;;;;;;;;;;;;;;;;;;;;;
Date;8/21/2013;;;;;;;;;;;;;;;;;;;;;;;;;
Time;11:17:57 PM;;;;;;;;;;;;;;;;;;;;;;;;;
Reader Type:;Synergy H1;;;;;;;;;;;;;;;;;;;;;;;;;
Reader Serial Number:;271275;;;;;;;;;;;;;;;;;;;;;;;;;
Reading Type;Reader;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Procedure Details;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Type;Nunc 384 flat bottom;;;;;;;;;;;;;;;;;;;;;;;;;
Well Selection;Runtime;;;;;;;;;;;;;;;;;;;;;;;;;
Set Temperature;Setpoint 29°C;;;;;;;;;;;;;;;;;;;;;;;;;
Start Kinetic;Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads;;;;;;;;;;;;;;;;;;;;;;;;;
Shake;Linear: 0:30 (MM:SS);;;;;;;;;;;;;;;;;;;;;;;;;
;Frequency: 567 cpm (3 mm);;;;;;;;;;;;;;;;;;;;;;;;;
Read;MG;;;;;;;;;;;;;;;;;;;;;;;;;
;Fluorescence Endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;;;;;;;;;;;;;
;Excitation: 610, Emission: 650;;;;;;;;;;;;;;;;;;;;;;;;;
;Optics: Bottom, Gain: 150;;;;;;;;;;;;;;;;;;;;;;;;;
;Light Source: Xenon Flash, Lamp Energy: High;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Speed: Normal, Delay: 100 msec, Measurements/Data Point: 100;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Height: 9.5 mm;;;;;;;;;;;;;;;;;;;;;;;;;
Read;gfp;;;;;;;;;;;;;;;;;;;;;;;;;
;Fluorescence Endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;;;;;;;;;;;;;
;Excitation: 485, Emission: 525;;;;;;;;;;;;;;;;;;;;;;;;;
;Optics: Bottom, Gain: 61;;;;;;;;;;;;;;;;;;;;;;;;;
;Light Source: Xenon Flash, Lamp Energy: High;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Speed: Normal, Delay: 100 msec, Measurements/Data Point: 10;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Height: 7 mm;;;;;;;;;;;;;;;;;;;;;;;;;
Read;cfp;;;;;;;;;;;;;;;;;;;;;;;;;
;Fluorescence Endpoint;;;;;;;;;;;;;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;;;;;;;;;;;;;
;Excitation: 433, Emission: 475;;;;;;;;;;;;;;;;;;;;;;;;;
;Optics: Bottom, Gain: 61;;;;;;;;;;;;;;;;;;;;;;;;;
;Light Source: Xenon Flash, Lamp Energy: High;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Speed: Normal, Delay: 100 msec, Measurements/Data Point: 10;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Height: 9.5 mm;;;;;;;;;;;;;;;;;;;;;;;;;
End Kinetic;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Layout;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
;A;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;B;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;C;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;D;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;E;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;F;SPL1;SPL2;SPL3;SPL4;SPL5;SPL6;SPL7;SPL8;SPL9;SPL10;SPL11;SPL12;SPL13;SPL14;;;;;;;;;;;Well ID
;G;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;H;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;I;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;J;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;K;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;L;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;M;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;N;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;O;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;P;;;;;;;;;;;;;;;;;;;;;;;;;Well ID
;;;;;;;;;;;;;;;;;;;;;;;;;;
MG:610,650;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time;T° MG:610,650;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;;;;;;;;;;
;0:00:31;29.1;512;455;474;479;470;548;461;472;412;442;477;510;549;542;;;;;;;;;;
;0:03:31;29;451;418;461;455;464;476;422;445;415;479;471;487;559;589;;;;;;;;;;
;0:06:31;29;457;404;445;401;456;462;388;433;374;442;437;516;597;625;;;;;;;;;;
;0:09:31;29;404;440;447;426;435;439;387;418;407;452;467;507;727;713;;;;;;;;;;
;0:12:31;29;417;400;418;439;430;425;394;397;435;420;521;561;814;839;;;;;;;;;;
;0:15:31;29;389;359;436;374;416;417;355;390;436;468;548;600;866;959;;;;;;;;;;
;0:18:31;29;383;361;380;369;414;377;386;365;404;470;591;668;997;1096;;;;;;;;;;
;0:21:31;29;383;357;368;428;422;375;355;328;433;493;609;674;1098;1171;;;;;;;;;;
;0:24:31;29;386;349;366;365;406;384;370;342;442;518;640;819;1218;1409;;;;;;;;;;
;0:27:31;29;362;337;377;339;376;330;384;384;468;537;680;831;1344;1528;;;;;;;;;;
;0:30:31;29.1;367;319;340;371;407;337;337;337;439;576;693;911;1429;1701;;;;;;;;;;
;0:33:31;29.1;332;317;373;342;388;317;312;330;477;588;756;954;1580;1839;;;;;;;;;;
;0:36:31;29.1;392;329;317;344;372;339;288;324;426;611;811;1075;1685;1928;;;;;;;;;;
;0:39:31;29.1;336;325;333;342;369;329;329;300;481;622;809;1080;1754;2007;;;;;;;;;;
;0:42:31;29.1;358;337;377;353;366;321;326;312;509;626;870;1171;1811;2065;;;;;;;;;;
;0:45:31;29.1;371;317;331;365;353;330;296;320;480;744;906;1280;1995;2187;;;;;;;;;;
;0:48:31;29.1;383;320;318;354;361;352;292;304;523;752;974;1353;2022;2252;;;;;;;;;;
;0:51:31;29.1;342;314;358;320;314;352;315;289;501;744;978;1364;2022;2178;;;;;;;;;;
